UniProt Acc,Gene Name,Protein Name
Q9H6S1,AZI2,5-azacytidine-induced protein 2
Q13310,PABPC4,Polyadenylate-binding protein 4
Q9GZQ8,MAP1LC3B,Microtubule-associated protein 1 light chain 3 beta
Q6ZW49,PAXIP1,PAX-interacting protein 1
O60825,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"
Q9BSB4,ATG101,Autophagy-related protein 101
P26045,PTPN3,Tyrosine-protein phosphatase non-receptor type 3
P49798,RGS4,Regulator of G-protein signaling 4
O15392,BIRC5,Baculoviral IAP repeat-containing protein 5
Q15287,RNPS1,RNA-binding protein with serine-rich domain 1
Q05655,PRKCD,Protein kinase C delta type
Q07817,BCL2L1,Bcl-2-like protein 1
Q7L0Q8,RHOU,Rho-related GTP-binding protein RhoU
A6ND01,IZUMO1R,Sperm-egg fusion protein Juno
Q8IYV9,IZUMO1,Izumo sperm-egg fusion protein 1
Q96B67,ARRDC3,Arrestin domain-containing protein 3
Q9BUB5,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1
P99999,CYCS,Cytochrome c
Q96P71,NECAB3,N-terminal EF-hand calcium-binding protein 3
Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR
O94864,SUPT7L,STAGA complex 65 subunit gamma
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0
Q9H0K1,SIK2,Serine/threonine-protein kinase SIK2
P62491,RAB11A,Ras-related protein Rab-11A
Q9UM54,MYO6,Unconventional myosin-VI
O14746,TERT,Telomerase reverse transcriptase
Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2
P08238,HSP90AB1,Heat shock protein HSP 90-beta
P12004,PCNA,Proliferating cell nuclear antigen
Q07866,KLC1,Kinesin light chain 1
O43255,SIAH2,E3 ubiquitin-protein ligase SIAH2
P62136,PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
Q15059,BRD3,Bromodomain-containing protein 3
O15273,TCAP,Telethonin
Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta
Q99836,MYD88,Myeloid differentiation primary response protein MyD88
Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
Q02952,AKAP12,A-kinase anchor protein 12
Q13873,BMPR2,Bone morphogenetic protein receptor type-2
Q99835,SMO,Protein smoothened
Q13635,PTCH1,Protein patched homolog 1
Q9H8T0,AKTIP,AKT-interacting protein
Q96EP0,RNF31,E3 ubiquitin-protein ligase RNF31
Q14978,NOLC1,Nucleolar and coiled-body phosphoprotein 1
O75419,CDC45,Cell division control protein 45 homolog
Q9UPQ9,TNRC6B,Trinucleotide repeat-containing gene 6B protein
Q9Y508,RNF114,E3 ubiquitin-protein ligase RNF114
O15354,GPR37,Prosaposin receptor GPR37
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret
Q00536,CDK16,Cyclin-dependent kinase 16
Q13489,BIRC3,Baculoviral IAP repeat-containing protein 3
Q9H0E3,SAP130,Histone deacetylase complex subunit SAP130
O96017,CHEK2,Serine/threonine-protein kinase Chk2
P41743,PRKCI,Protein kinase C iota type
O60292,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3
Q03164,KMT2A,Histone-lysine N-methyltransferase 2A
Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3
Q86UE4,MTDH,Protein LYRIC
P61254,RPL26,Large ribosomal subunit protein uL24
P60520,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2
Q8WZ19,KCTD13,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1
O60343,TBC1D4,TBC1 domain family member 4
P51813,BMX,Cytoplasmic tyrosine-protein kinase BMX
Q9Y297,BTRC,F-box/WD repeat-containing protein 1A
Q9NPA8,ENY2,Transcription and mRNA export factor ENY2
Q96F86,EDC3,Enhancer of mRNA-decapping protein 3
O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
P13674,P4HA1,Prolyl 4-hydroxylase subunit alpha-1
P07237,P4HB,Protein disulfide-isomerase
P62633,CNBP,CCHC-type zinc finger nucleic acid binding protein
Q13573,SNW1,SNW domain-containing protein 1
Q9UMD9,COL17A1,Collagen alpha-1(XVII) chain
P16144,ITGB4,Integrin beta-4
O15524,SOCS1,Suppressor of cytokine signaling 1
P05412,JUN,Transcription factor Jun
Q16543,CDC37,Hsp90 co-chaperone Cdc37
Q9Y294,ASF1A,Histone chaperone ASF1A
O00273,DFFA,DNA fragmentation factor subunit alpha
Q8TEB9,RHBDD1,Rhomboid-related protein 4
Q2M1Z3,ARHGAP31,Rho GTPase-activating protein 31
P03956,MMP1,Interstitial collagenase
P17301,ITGA2,Integrin alpha-2
P09038,FGF2,Fibroblast growth factor 2
Q5T5U3,ARHGAP21,Rho GTPase-activating protein 21
Q92847,GHSR,Growth hormone secretagogue receptor type 1
P16471,PRLR,Prolactin receptor
Q9H8Y5,ANKZF1,tRNA endonuclease ANKZF1
Q9P2M7,CGN,Cingulin
P35052,GPC1,Glypican-1
O94813,SLIT2,Slit homolog 2 protein
Q13239,SLA,Src-like-adapter
P25024,CXCR1,C-X-C chemokine receptor type 1
P10145,CXCL8,Interleukin-8
O14744,PRMT5,Protein arginine N-methyltransferase 5
Q13625,TP53BP2,Apoptosis-stimulating of p53 protein 2
Q7L8J4,SH3BP5L,SH3 domain-binding protein 5-like
P05771,PRKCB,Protein kinase C beta type
P00488,F13A1,Coagulation factor XIII A chain
P05160,F13B,Coagulation factor XIII B chain
P52294,KPNA1,Importin subunit alpha-5
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein
P51452,DUSP3,Dual specificity protein phosphatase 3
P06748,NPM1,Nucleophosmin
Q5VV41,ARHGEF16,Rho guanine nucleotide exchange factor 16
O75044,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2
Q7Z401,DENND4A,C-myc promoter-binding protein
Q15654,TRIP6,Thyroid receptor-interacting protein 6
Q86UL8,MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"
Q9NWT6,HIF1AN,Hypoxia-inducible factor 1-alpha inhibitor
P33992,MCM5,DNA replication licensing factor MCM5
Q14240,EIF4A2,Eukaryotic initiation factor 4A-II
Q9NZD4,AHSP,Alpha-hemoglobin-stabilizing protein
P69905,HBA2,Hemoglobin subunit alpha
Q96PU8,QKI,KH domain-containing RNA-binding protein QKI
Q15717,ELAVL1,ELAV-like protein 1
P07195,LDHB,L-lactate dehydrogenase B chain
Q8IYB3,SRRM1,Serine/arginine repetitive matrix protein 1
P49761,CLK3,Dual specificity protein kinase CLK3
P32927,CSF2RB,Cytokine receptor common subunit beta
Q7Z6B7,SRGAP1,SLIT-ROBO Rho GTPase-activating protein 1
Q14790,CASP8,Caspase-8
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit
Q96F24,NRBF2,Nuclear receptor-binding factor 2
P62995,TRA2B,Transformer-2 protein homolog beta
P05546,SERPIND1,Heparin cofactor 2
Q13077,TRAF1,TNF receptor-associated factor 1
Q9Y6X2,PIAS3,E3 SUMO-protein ligase PIAS3
Q93008,USP9X,Ubiquitin carboxyl-terminal hydrolase 9X
Q6P2Q9,PRPF8,Pre-mRNA-processing-splicing factor 8
O94966,USP19,Ubiquitin carboxyl-terminal hydrolase 19
Q86SQ0,PHLDB2,Pleckstrin homology-like domain family B member 2
P00742,F10,Coagulation factor X
P10646,TFPI,Tissue factor pathway inhibitor
P19784,CSNK2A2,Casein kinase II subunit alpha'
Q9H0A0,NAT10,RNA cytidine acetyltransferase
P13056,NR2C1,Nuclear receptor subfamily 2 group C member 1
Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
P15172,MYOD1,Myoblast determination protein 1
P35609,ACTN2,Alpha-actinin-2
P18827,SDC1,Syndecan-1
P62841,RPS15,Small ribosomal subunit protein uS19
P22736,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1
Q96IV0,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
P60709,ACTB,"Actin, cytoplasmic 1"
P48544,KCNJ5,G protein-activated inward rectifier potassium channel 4
Q92574,TSC1,Hamartin
P52306,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1
Q9UDY2,TJP2,Tight junction protein 2
P29590,PML,Protein PML
O43251,RBFOX2,RNA binding protein fox-1 homolog 2
P55265,ADAR,Double-stranded RNA-specific adenosine deaminase
Q6P597,KLC3,Kinesin light chain 3
P62873,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
P01008,SERPINC1,Antithrombin-III
Q9P2Y5,UVRAG,UV radiation resistance-associated gene protein
Q7L9L4,MOB1B,MOB kinase activator 1B
P0CG47,UBB,Polyubiquitin-B
P21854,CD72,B-cell differentiation antigen CD72
Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22
O60486,PLXNC1,Plexin-C1
O75326,SEMA7A,Semaphorin-7A
Q15139,PRKD1,Serine/threonine-protein kinase D1
Q6WCQ1,MPRIP,Myosin phosphatase Rho-interacting protein
Q96SB4,SRPK1,SRSF protein kinase 1
Q8TBZ3,WDR20,WD repeat-containing protein 20
Q9UN86,G3BP2,Ras GTPase-activating protein-binding protein 2
Q96G01,BICD1,Protein bicaudal D homolog 1
O75446,SAP30,Histone deacetylase complex subunit SAP30
Q08722,CD47,Leukocyte surface antigen CD47
O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1
A7MCY6,TBKBP1,TANK-binding kinase 1-binding protein 1
P37231,PPARG,Peroxisome proliferator-activated receptor gamma
Q6ZTQ3,RASSF6,Ras association domain-containing protein 6
Q9Y2K2,SIK3,Serine/threonine-protein kinase SIK3
Q6ICG6,KIAA0930,Uncharacterized protein KIAA0930
P07948,LYN,Tyrosine-protein kinase Lyn
P62424,RPL7A,Large ribosomal subunit protein eL8
Q16629,SRSF7,Serine/arginine-rich splicing factor 7
Q9UBW5,BIN2,Bridging integrator 2
O00499,BIN1,Myc box-dependent-interacting protein 1
P07947,YES1,Tyrosine-protein kinase Yes
Q2M1P5,KIF7,Kinesin-like protein KIF7
P56192,MARS1,"Methionine--tRNA ligase, cytoplasmic"
P11274,BCR,Breakpoint cluster region protein
P61353,RPL27,Large ribosomal subunit protein eL27
P62888,RPL30,Large ribosomal subunit protein eL30
P23760,PAX3,Paired box protein Pax-3
P17706,PTPN2,Tyrosine-protein phosphatase non-receptor type 2
Q9H160,ING2,Inhibitor of growth protein 2
Q02878,RPL6,Large ribosomal subunit protein eL6
Q8N300,SVBP,Small vasohibin-binding protein
Q7L8A9,VASH1,Tubulinyl-Tyr carboxypeptidase 1
P78362,SRPK2,SRSF protein kinase 2
Q15599,NHERF2,Na(+)/H(+) exchange regulatory cofactor NHE-RF2
Q8TCU6,PREX1,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein"
P20936,RASA1,Ras GTPase-activating protein 1
Q12959,DLG1,Disks large homolog 1
P35228,NOS2,"Nitric oxide synthase, inducible"
O95696,BRD1,Bromodomain-containing protein 1
Q8WYH8,ING5,Inhibitor of growth protein 5
P62899,RPL31,Large ribosomal subunit protein eL31
P05154,SERPINA5,Plasma serine protease inhibitor
P18124,RPL7,Large ribosomal subunit protein uL30
P10242,MYB,Transcriptional activator Myb
Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13
P62854,RPS26,Small ribosomal subunit protein eS26
P08246,ELANE,Neutrophil elastase
O60568,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3
Q9BQY4,RHOXF2,Rhox homeobox family member 2
Q9BT40,INPP5K,Inositol polyphosphate 5-phosphatase K
Q6GQQ9,OTUD7B,OTU domain-containing protein 7B
Q12904,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
Q14004,CDK13,Cyclin-dependent kinase 13
Q68D10,SPTY2D1,Protein SPT2 homolog
Q9BYG3,NIFK,MKI67 FHA domain-interacting nucleolar phosphoprotein
Q8WVV9,HNRNPLL,Heterogeneous nuclear ribonucleoprotein L-like
P17480,UBTF,Nucleolar transcription factor 1
O14686,KMT2D,Histone-lysine N-methyltransferase 2D
Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U
P62081,RPS7,Small ribosomal subunit protein eS7
P48681,NES,Nestin
P26373,RPL13,Large ribosomal subunit protein eL13
P01033,TIMP1,Metalloproteinase inhibitor 1
P17693,HLA-G,"HLA class I histocompatibility antigen, alpha chain G"
Q13617,CUL2,Cullin-2
Q9H0R8,GABARAPL1,Gamma-aminobutyric acid receptor-associated protein-like 1
P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial"
O60333,KIF1B,Kinesin-like protein KIF1B
Q29RF7,PDS5A,Sister chromatid cohesion protein PDS5 homolog A
P46783,RPS10,Small ribosomal subunit protein eS10
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2
P06239,LCK,Tyrosine-protein kinase Lck
Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2
P46821,MAP1B,Microtubule-associated protein 1B
P15514,AREG,Amphiregulin
Q9UL18,AGO1,Protein argonaute-1
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1
P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1
Q13547,HDAC1,Histone deacetylase 1
Q5T2D3,OTUD3,OTU domain-containing protein 3
Q14686,NCOA6,Nuclear receptor coactivator 6
Q9NR80,ARHGEF4,Rho guanine nucleotide exchange factor 4
P62277,RPS13,Small ribosomal subunit protein uS15
Q9BTK6,PAGR1,PAXIP1-associated glutamate-rich protein 1
Q9BV40,VAMP8,Vesicle-associated membrane protein 8
P41252,IARS1,"Isoleucine--tRNA ligase, cytoplasmic"
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2
O60229,KALRN,Kalirin
Q9Y6J9,TAF6L,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L
Q92905,COPS5,COP9 signalosome complex subunit 5
P23258,TUBG1,Tubulin gamma-1 chain
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2
Q9P2J5,LARS1,"Leucine--tRNA ligase, cytoplasmic"
O00571,DDX3X,ATP-dependent RNA helicase DDX3X
Q04912,MST1R,Macrophage-stimulating protein receptor
Q9NTI5,PDS5B,Sister chromatid cohesion protein PDS5 homolog B
Q5H9L4,TAF7L,Transcription initiation factor TFIID subunit 7-like
Q96F44,TRIM11,E3 ubiquitin-protein ligase TRIM11
O00189,AP4M1,AP-4 complex subunit mu-1
Q9UPM8,AP4E1,AP-4 complex subunit epsilon-1
Q9C000,NLRP1,"NACHT, LRR and PYD domains-containing protein 1"
Q15149,PLEC,Plectin
P14868,DARS1,"Aspartate--tRNA ligase, cytoplasmic"
P39019,RPS19,Small ribosomal subunit protein eS19
O14980,XPO1,Exportin-1
Q9NYF3,FAM53C,Protein FAM53C
Q9H9E1,ANKRA2,Ankyrin repeat family A protein 2
Q14444,CAPRIN1,Caprin-1
Q8WYL5,SSH1,Protein phosphatase Slingshot homolog 1
Q01105,SET,Protein SET
O75592,MYCBP2,E3 ubiquitin-protein ligase MYCBP2
P61247,RPS3A,Small ribosomal subunit protein eS1
P04271,S100B,Protein S100-B
Q86VM9,ZC3H18,Zinc finger CCCH domain-containing protein 18
P50914,RPL14,Large ribosomal subunit protein eL14
Q13546,RIPK1,Receptor-interacting serine/threonine-protein kinase 1
Q9Y3M2,CBY1,Protein chibby homolog 1
P38919,EIF4A3,Eukaryotic initiation factor 4A-III
P11912,CD79A,B-cell antigen receptor complex-associated protein alpha chain
Q9P0L2,MARK1,Serine/threonine-protein kinase MARK1
Q9H1Y0,ATG5,Autophagy protein 5
P31629,HIVEP2,Transcription factor HIVEP2
P62701,RPS4X,"Small ribosomal subunit protein eS4, X isoform"
Q15046,KARS1,Lysine--tRNA ligase
Q8TAD8,SNIP1,Smad nuclear-interacting protein 1
Q8NI37,PPTC7,Protein phosphatase PTC7 homolog
Q09472,EP300,Histone acetyltransferase p300
Q9UJX3,ANAPC7,Anaphase-promoting complex subunit 7
P39060,COL18A1,Collagen alpha-1(XVIII) chain
P63173,RPL38,Large ribosomal subunit protein eL38
Q06481,APLP2,Amyloid beta precursor like protein 2
Q15645,TRIP13,Pachytene checkpoint protein 2 homolog
P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4
Q16352,INA,Alpha-internexin
P07814,EPRS1,Bifunctional glutamate/proline--tRNA ligase
Q8TC07,TBC1D15,TBC1 domain family member 15
Q14CW9,ATXN7L3,Ataxin-7-like protein 3
Q99727,TIMP4,Metalloproteinase inhibitor 4
Q99538,LGMN,Legumain
O95071,UBR5,E3 ubiquitin-protein ligase UBR5
P62847,RPS24,Small ribosomal subunit protein eS24
Q96RE7,NACC1,Nucleus accumbens-associated protein 1
P38646,HSPA9,"Stress-70 protein, mitochondrial"
O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7
Q8N490,PNKD,Probable hydrolase PNKD
P83731,RPL24,Large ribosomal subunit protein eL24
P98066,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein
Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3
Q96HS1,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial"
Q9UPP1,PHF8,Histone lysine demethylase PHF8
P25398,RPS12,Small ribosomal subunit protein eS12
P53355,DAPK1,Death-associated protein kinase 1
Q15366,PCBP2,Poly(rC)-binding protein 2
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2
Q13371,PDCL,Phosducin-like protein
O60684,KPNA6,Importin subunit alpha-7
P61326,MAGOH,Protein mago nashi homolog
Q05195,MXD1,Max dimerization protein 1
P10276,RARA,Retinoic acid receptor alpha
Q9Y462,ZNF711,Zinc finger protein 711
O75688,PPM1B,Protein phosphatase 1B
Q9H0F6,SHARPIN,Sharpin
Q13595,TRA2A,Transformer-2 protein homolog alpha
P01106,MYC,Myc proto-oncogene protein
Q14980,NUMA1,Nuclear mitotic apparatus protein 1
P57059,SIK1,Serine/threonine-protein kinase SIK1
P00451,F8,Coagulation factor VIII
P41220,RGS2,Regulator of G-protein signaling 2
Q3V6T2,CCDC88A,Girdin
Q09161,NCBP1,Nuclear cap-binding protein subunit 1
Q9UKG1,APPL1,DCC-interacting protein 13-alpha
O43815,STRN,Striatin
Q02543,RPL18A,Large ribosomal subunit protein eL20
Q15796,SMAD2,Mothers against decapentaplegic homolog 2
P03372,ESR1,Estrogen receptor
Q9Y3U8,RPL36,Large ribosomal subunit protein eL36
O75628,REM1,GTP-binding protein REM 1
P16104,H2AX,Histone H2AX
Q96LT7,C9orf72,Guanine nucleotide exchange factor C9orf72
Q06787,FMR1,Fragile X messenger ribonucleoprotein 1
P35268,RPL22,Large ribosomal subunit protein eL22
P42677,RPS27,Small ribosomal subunit protein eS27
Q9BXB1,LGR4,Leucine-rich repeat-containing G-protein coupled receptor 4
Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP
Q04771,ACVR1,Activin receptor type-1
Q13253,NOG,Noggin
P61313,RPL15,Large ribosomal subunit protein eL15
Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6
Q07666,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1"
P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1
Q9UBN7,HDAC6,Histone deacetylase 6
Q4ZIN3,TMEM259,Membralin
Q9HC97,GPR35,G-protein coupled receptor 35
P61960,UFM1,Ubiquitin-fold modifier 1
Q92793,CREBBP,CREB-binding protein
P32239,CCKBR,Gastrin/cholecystokinin type B receptor
P15391,CD19,B-lymphocyte antigen CD19
P04083,ANXA1,Annexin A1
Q99558,MAP3K14,Mitogen-activated protein kinase kinase kinase 14
P62753,RPS6,Small ribosomal subunit protein eS6
P54619,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1
P62241,RPS8,Small ribosomal subunit protein eS8
O60885,BRD4,Bromodomain-containing protein 4
Q09028,RBBP4,Histone-binding protein RBBP4
Q15942,ZYX,Zyxin
Q96GX1,TCTN2,Tectonic-2
P12259,F5,Coagulation factor V
Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein
Q14814,MEF2D,Myocyte-specific enhancer factor 2D
P46781,RPS9,Small ribosomal subunit protein uS4
Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1
Q8IXJ9,ASXL1,Polycomb group protein ASXL1
O43150,ASAP2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2"
Q92769,HDAC2,Histone deacetylase 2
Q8IYB8,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial"
Q14197,MRPL58,Large ribosomal subunit protein mL62
P01100,FOS,Protein c-Fos
O75056,SDC3,Syndecan-3
P07101,TH,Tyrosine 3-monooxygenase
O43707,ACTN4,Alpha-actinin-4
P21246,PTN,Pleiotrophin
P12814,ACTN1,Alpha-actinin-1
Q96EQ8,RNF125,E3 ubiquitin-protein ligase RNF125
P61077,UBE2D3,Ubiquitin-conjugating enzyme E2 D3
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21
Q9Y6B7,AP4B1,AP-4 complex subunit beta-1
Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A
P57678,GEMIN4,Gem-associated protein 4
Q9BYM8,RBCK1,RanBP-type and C3HC4-type zinc finger-containing protein 1
P01112,HRAS,GTPase HRas
P10620,MGST1,Microsomal glutathione S-transferase 1
P08708,RPS17,Small ribosomal subunit protein eS17
Q9BTD8,RBM42,RNA-binding protein 42
P62851,RPS25,Small ribosomal subunit protein eS25
O75787,ATP6AP2,Renin receptor
Q9H1R3,MYLK2,"Myosin light chain kinase 2, skeletal/cardiac muscle"
P22570,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
P49327,FASN,Fatty acid synthase
Q9Y2U5,MAP3K2,Mitogen-activated protein kinase kinase kinase 2
Q92608,DOCK2,Dedicator of cytokinesis protein 2
P56539,CAV3,Caveolin-3
P81605,DCD,Dermcidin
P21796,VDAC1,Non-selective voltage-gated ion channel VDAC1
P01023,A2M,Alpha-2-macroglobulin
O95166,GABARAP,Gamma-aminobutyric acid receptor-associated protein
O43491,EPB41L2,Band 4.1-like protein 2
P35237,SERPINB6,Serpin B6
Q14643,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1"
Q86W92,PPFIBP1,Liprin-beta-1
Q14247,CTTN,Src substrate cortactin
Q8NCB2,CAMKV,CaM kinase-like vesicle-associated protein
Q9UMX0,UBQLN1,Ubiquilin-1
Q00537,CDK17,Cyclin-dependent kinase 17
P29074,PTPN4,Tyrosine-protein phosphatase non-receptor type 4
P13569,CFTR,Cystic fibrosis transmembrane conductance regulator
P19338,NCL,Nucleolin
P26599,PTBP1,Polypyrimidine tract-binding protein 1
P62191,PSMC1,26S proteasome regulatory subunit 4
Q12986,NFX1,Transcriptional repressor NF-X1
P98164,LRP2,Low-density lipoprotein receptor-related protein 2
P00750,PLAT,Tissue-type plasminogen activator
Q9Y5S9,RBM8A,RNA-binding protein 8A
O14640,DVL1,Segment polarity protein dishevelled homolog DVL-1
P14784,IL2RB,Interleukin-2 receptor subunit beta
P30101,PDIA3,Protein disulfide-isomerase A3
Q15121,PEA15,Astrocytic phosphoprotein PEA-15
Q9NQC7,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD
Q13571,LAPTM5,Lysosomal-associated transmembrane protein 5
P08311,CTSG,Cathepsin G
P63165,SUMO1,Small ubiquitin-related modifier 1
Q8N6P7,IL22RA1,Interleukin-22 receptor subunit alpha-1
P25440,BRD2,Bromodomain-containing protein 2
P01375,TNF,Tumor necrosis factor
P08134,RHOC,Rho-related GTP-binding protein RhoC
Q15582,TGFBI,Transforming growth factor-beta-induced protein ig-h3
P02751,FN1,Fibronectin
