Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	PubMed ID
O95613	reviewed	PCNT_HUMAN	Pericentrin (Kendrin) (Pericentrin-B)	PCNT KIAA0402 PCNT2	Homo sapiens (Human)	3336	11171385; 9455477; 12168954; 10830953; 14702039; 10823944; 14654843; 18955030; 18157127; 18174396; 19690332; 20599736; 20466722; 20068231; 21269460; 22722493; 22797915; 23186163; 24275569; 27137183; 23033978; 24816561; 26213385; 25503564; 30420784
O95628	reviewed	CNOT4_HUMAN	CCR4-NOT transcription complex subunit 4 (EC 2.3.2.27) (CCR4-associated factor 4) (E3 ubiquitin-protein ligase CNOT4) (Potential transcriptional repressor NOT4Hp) (RING-type E3 ubiquitin transferase CNOT4)	CNOT4 NOT4	Homo sapiens (Human)	575	10637334; 14702039; 12853948; 15489334; 11823428; 15001359; 17525332; 18669648; 19690332; 20068231; 22159038; 23186163; 24129315; 26575292; 29861391; 11087754
O95721	reviewed	SNP29_HUMAN	Synaptosomal-associated protein 29 (SNAP-29) (Soluble 29 kDa NSF attachment protein) (Vesicle-membrane fusion protein SNAP-29)	SNAP29	Homo sapiens (Human)	258	9852078; 15461802; 15489334; 15968592; 21269460; 23217709; 23186163; 24275569; 25686250; 25944712; 31806350; 31091447; 27440922; 33422265; 25686604
O95786	reviewed	RIGI_HUMAN	Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	RIGI DDX58	Homo sapiens (Human)	925	11890704; 15164053; 15489334; 17974005; 15181474; 15219805; 15208624; 16125763; 16281057; 15708988; 16153868; 16127453; 16009940; 17392790; 17190814; 17460044; 18636086; 18057259; 18724357; 19631370; 19576794; 19017631; 19122199; 19211564; 19419966; 19193793; 19609254; 19484123; 19608861; 20434986; 20368735; 21175414; 20127681; 20007272; 21269460; 21616437; 21884169; 21233210; 21742966; 21813773; 20950133; 21068236; 21791617; 21102435; 22152002; 22301138; 22607805; 23399697; 23843640; 23950712; 24755855; 24390337; 24478431; 26471729; 25228397; 27824081; 27866900; 25620203; 27312109; 28469175; 29117565; 29288164; 30193849; 31006531; 32715615; 32027733; 34313226; 34935440; 35263596; 36793726; 18243112; 18242112; 25018021
O95817	reviewed	BAG3_HUMAN	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	BAG3 BIS	Homo sapiens (Human)	575	9873016; 10597216; 10980614; 14702039; 17974005; 15489334; 17081983; 18220336; 18691976; 18669648; 19413330; 20068231; 21269460; 22366786; 23434281; 23186163; 24318877; 24275569; 25114211; 26159920; 27474739; 28144995; 28112733; 19085932; 21353195; 21361913; 21459883; 21898660
P00519	reviewed	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130	3021337; 2687768; 7665185; 15164053; 15489334; 2825022; 6191223; 7545908; 2542016; 2183353; 9037071; 9144171; 9461559; 10194451; 10391250; 10325413; 11114745; 11374898; 12379650; 11971963; 12475393; 12531427; 12672821; 12775773; 15302586; 15556646; 15031292; 15686624; 15886098; 15657060; 15696159; 17081983; 16648821; 16912036; 16943190; 16678104; 17306540; 17623672; 18161990; 18328268; 18945674; 18775435; 18691976; 18669648; 18182299; 19413330; 19891780; 19369195; 19381274; 19690332; 20417104; 20861316; 20841568; 21269460; 23006999; 22810897; 23186163; 24275569; 28428613; 1505033; 1281542; 7892170; 8590002; 9698566; 12384576; 12654251; 16424036; 16543148; 16640460; 17164530; 17452790; 19906645; 20357770; 15361874; 17344846; 28288113
P01106	reviewed	MYC_HUMAN	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	454	6414718; 6321164; 6298632; 6304538; 6419122; 6304729; 6547209; 6714223; 8444346; 14702039; 16421571; 15489334; 3540591; 3277717; 2166998; 1597196; 8220424; 8386367; 7642555; 9315742; 15103331; 16126174; 15723054; 15674325; 17081983; 17632056; 18035408; 17873522; 17311883; 17308053; 17558397; 18669648; 19413330; 19608861; 20713526; 20010808; 19966300; 20551172; 20068231; 21406692; 22719065; 22307329; 23186163; 24940000; 25956029; 25803737; 25438055; 25775507; 28112733; 29779948; 34342803; 9680483; 2069907
P01574	reviewed	IFNB_HUMAN	Interferon beta (IFN-beta) (Fibroblast interferon)	IFNB1 IFB IFNB	Homo sapiens (Human)	187	6157601; 6157094; 6159584; 6164984; 16593086; 6159580; 2414376; 19054851; 15489334; 6159597; 6171735; 6162107; 8469318; 8469319; 7813427; 8027027; 7665574; 8798579; 8969169; 9345408; 10049744; 10556041; 9342320; 16959974
P01579	reviewed	IFNG_HUMAN	Interferon gamma (IFN-gamma) (Immune interferon)	IFNG	Homo sapiens (Human)	166	6180322; 6173769; 2860101; 6329718; 6176945; 19054851; 15489334; 6427223; 3109913; 2504704; 8349687; 8163024; 7729559; 8666937; 9643557; 11112687; 16914093; 32163377; 1902591; 7617032; 10860730; 10986460; 1525157; 15327519
P01906	reviewed	DQA2_HUMAN	HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)	HLA-DQA2 HLA-DXA	Homo sapiens (Human)	255	3036828; 6584734; 3610256; 14574404; 8026991; 2513578; 9036956; 8598037; 11684289; 18046453; 17241953; 19092054; 19533806; 22407913
P01909	reviewed	DQA1_HUMAN	HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)	HLA-DQA1	Homo sapiens (Human)	254	6415485; 6585297; 6584734; 3584986; 9271631; 16140993; 16866887; 3036828; 14702039; 14574404; 15489334; 3879967; 3259543; 8929711; 6576979; 2493052; 15853899; 3372263; 10395113; 1362295; 3129499; 6815651; 2513578; 2888727; 8598037; 11684289; 17241953; 18046453; 19092054; 19533806; 11376336; 14769912; 15020763; 17629515
P01920	reviewed	DQB1_HUMAN	HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)	HLA-DQB1 HLA-DQB	Homo sapiens (Human)	261	6415003; 6954511; 6316358; 6206493; 2998758; 2888727; 3036828; 3584986; 3259543; 2050393; 8988543; 9271631; 16140993; 14574404; 15489334; 2925231; 2494138; 2777341; 8929711; 11098940; 7928445; 6576979; 2212675; 3020127; 17868257; 2886427; 9174147; 11782280; 9458130; 17559588; 18331527; 18588576; 19254265; 19493242; 8896183; 8988541; 15361133; 15853909; 17212715; 17999653; 19392794; 10323344; 9802612; 8896171; 16441489; 1440562; 2308943; 2010218; 6952552; 18565458; 8598037; 11684289; 18046453; 17241953; 19092054; 19533806; 11376336; 14769912; 15020763; 17629515; 21269460
P02649	reviewed	APOE_HUMAN	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317	6325438; 6327682; 2987927; 3243553; 10520737; 11042151; 14702039; 15489334; 6897404; 7068630; 6860692; 3947350; 3115992; 30448281; 2831187; 2498325; 2762297; 2280190; 1911868; 1917954; 8340399; 8367470; 7891887; 7972031; 7768901; 8939961; 9395455; 9488694; 10027417; 10452964; 11447277; 12950167; 14754908; 19838169; 20030366; 20511397; 21269460; 22905912; 23676495; 23234360; 23620513; 24275569; 25122793; 26091039; 26387950; 28111074; 29695434; 30333625; 2063194; 8071364; 7994571; 8756331; 10850798; 11258893; 20303980; 2738044; 2760009; 2556398; 2101409; 2341812; 1674745; 1713245; 1530612; 1361196; 8488843; 8125051; 8468528; 8346443; 8287539; 7635945; 8664327; 9176854; 9360638; 10432380; 10903326; 11095479; 12864777; 12966036; 16094309; 18077821; 22028381; 22481068; 24267230; 22949395; 26802169; 7833947; 25173806; 29516132; 33450186
P02751	reviewed	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2477	11737888; 16322219; 16106752; 17974005; 15815621; 15489334; 3770189; 3031656; 2992939; 6630202; 8406884; 3024962; 3900070; 17614963; 6462919; 3375063; 2822387; 3478690; 7050098; 6688418; 3003095; 3593230; 2992573; 2012601; 6200322; 3021206; 12127832; 2989004; 3770201; 4019516; 6304699; 2414772; 3584091; 1400330; 7989369; 8114919; 9501082; 11580843; 11209058; 11956183; 12225811; 11773026; 14760718; 15665290; 16037490; 16335952; 17081983; 16336961; 18042364; 18318008; 19159218; 19139490; 19379667; 22905912; 24275569; 26091039; 29777959; 27834729; 29100092; 34089617; 1311202; 1423622; 8308892; 7583666; 9514732; 10196121; 10647176; 11285216; 11775745; 12946358; 12736686; 8120888; 8548820; 10075919; 14657397; 17464288; 17368672; 18713862; 19251642; 16959974; 18268355; 21269460
P04062	reviewed	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC	Homo sapiens (Human)	536	3864160; 3001061; 2914709; 1572652; 8294033; 9331372; 14702039; 16710414; 15489334; 3359914; 3687939; 6091633; 3456607; 1848227; 7908905; 9201993; 10781797; 12754519; 18022370; 17897319; 19279011; 19159218; 21098288; 21269460; 24211208; 23266198; 27789271; 27378698; 26724485; 32144204; 33361282; 12792654; 15817452; 16293621; 17139081; 17187079; 8118460; 8889578; 10527671; 2464926; 2508065; 1974409; 1972019; 2269438; 1899336; 1864608; 1487244; 1301953; 8432537; 7916532; 8112750; 8076951; 7915932; 7981693; 8294487; 8790604; 7655857; 8547070; 7627184; 7627192; 8598642; 7475546; 9240741; 8937765; 8829654; 8829663; 8889591; 8780099; 9182788; 9217217; 9295080; 9279145; 9153297; 9061570; 9040001; 9554454; 9683600; 9637431; 9856561; 9516376; 9851895; 9650766; 9554746; 10206680; 10340647; 10360404; 10744424; 10352942; 10447266; 10796875; 10649495; 10679038; 11992489; 11903352; 11933202; 12204005; 12694238; 12847165; 15292921; 15690354; 15826241; 15916907; 15605411; 16148263; 17620502; 18332251; 19286695; 19846850; 22658918; 24577513; 24022302; 24434810; 26528954; 27825739; 32547927; 34106956; 36776904
P04440	reviewed	DPB1_HUMAN	HLA class II histocompatibility antigen, DP beta 1 chain (HLA class II histocompatibility antigen, DP(W4) beta chain) (MHC class II antigen DPB1)	HLA-DPB1 HLA-DP1B	Homo sapiens (Human)	258	6098459; 2998758; 2987832; 3036829; 2838415; 1529429; 16189666; 14702039; 14574404; 15489334; 2714855; 7638863; 1481203; 8896187; 9756410; 9756411; 16147881; 1440570; 7806296; 8773318; 6330724; 19775376; 2460556; 2242906; 8344726; 7901923; 7912859; 7839356; 8781129; 8824162; 11169249; 11556983; 11782281; 12135440; 12694578; 12890000; 12890001; 15361132; 16866899; 8085260; 9174146; 10090623; 15140044; 7744621; 8851734; 15982263; 1412421; 1358867; 7817379; 9694359; 8525482; 10958363; 6310612; 8598037; 11684289; 18046453; 17241953; 19092054; 19533806
P04637	reviewed	P53_HUMAN	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393	4006916; 2946935; 3894933; 3025664; 2905688; 1915267; 8316628; 11058590; 16131611; 11023613; 14702039; 16625196; 15489334; 14660794; 6396087; 19011621; 2175676; 2156209; 2141171; 1705009; 1848668; 8632903; 8632915; 9372954; 9840937; 10606744; 10551826; 10570149; 10722742; 10656795; 10884347; 11025664; 10644996; 10951572; 11554448; 11554766; 11672523; 11007800; 11447225; 11551930; 11124955; 11546806; 11239457; 12507430; 11706030; 11925430; 11740489; 11780126; 12750254; 12724314; 12810724; 12851404; 12944468; 12524540; 12702766; 15109303; 15186775; 15136035; 15053879; 15053880; 15340061; 15525938; 15448695; 14702041; 15687255; 16322561; 15701641; 32144153; 15855171; 16219768; 15866171; 17108107; 16704422; 16376338; 16377624; 17108971; 16845383; 16415881; 17145718; 17254968; 17719541; 17170702; 17245430; 17904127; 18022393; 17467953; 17121812; 17317671; 17591690; 17332504; 17349958; 17805299; 17707234; 17525332; 18249187; 18585004; 18690848; 18206965; 17954561; 17967874; 19413330; 19536131; 19473992; 19837670; 19776115; 19509332; 19556538; 19608861; 20096117; 20096447; 20673990; 20041275; 20385133; 19880522; 20118233; 20124405; 20228809; 20173098; 20660729; 21269460; 21952639; 21597459; 20959462; 35122041; 21946351; 21317932; 22726440; 22214662; 22522597; 22945289; 22864287; 24051492; 23431171; 24625977; 23752197; 24652652; 25422469; 25168243; 26634371; 25591766; 25772236; 27323408; 28842590; 33591310; 30146126; 29681526; 29474172; 34523970; 34404770; 8023159; 7773777; 9321402; 8023157; 7878469; 8875929; 8875926; 14534297; 16793544; 16474402; 16402859; 20870725; 8266092; 1905840; 8829653; 17015838; 18453682; 18650397; 18996393; 19515728; 20142040; 20364130; 32442400; 1999338; 1933902; 1978757; 2259385; 1737852; 1565144; 1694291; 1699228; 2263646; 1647768; 1868473; 1849234; 1672732; 1394225; 1327751; 1459726; 1303181; 1437144; 1631151; 7682763; 8402617; 8336944; 8118819; 8013454; 7887414; 8718514; 8825920; 8829627; 9101296; 9419979; 9450901; 9452042; 10484981; 10549356; 11481490; 12085209; 16959974; 17224074; 17311302; 25732823; 27657329
P04792	reviewed	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	3714473; 2243808; 10777697; 9110174; 14702039; 12853948; 15489334; 2295696; 8325890; 1560006; 1730670; 2743305; 1763035; 1332886; 8093612; 8774846; 10383393; 10751411; 11342557; 15976317; 17081983; 16548883; 16964243; 17924679; 18088087; 18691976; 18669648; 19464326; 19166925; 19369195; 19608861; 20068231; 21269460; 21406692; 23186163; 24275569; 24129315; 25944712; 15122254; 18832141; 18952241; 20178975; 20870250; 22176143; 22206013; 23728742; 23948568; 23643870; 25965061; 27492805; 28144995
P05106	reviewed	ITB3_HUMAN	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	ITGB3 GP3A	Homo sapiens (Human)	788	3494014; 2452834; 2345548; 9195946; 15489334; 8298129; 3165296; 1953640; 12665801; 2341395; 2145280; 1382574; 3801670; 2787511; 2001252; 7519807; 8631894; 9618541; 10397733; 10640428; 10896934; 11160695; 11940607; 11807098; 12695522; 12807887; 15156152; 15834425; 15466936; 16216233; 16051604; 16322781; 16335952; 16982628; 16263699; 17635696; 18441324; 18317590; 18635536; 18088087; 18045938; 19494351; 19141530; 19578119; 19159218; 20702409; 20682778; 22492581; 23125415; 23658209; 24478423; 24789099; 25398877; 27993971; 28302677; 29030430; 28873464; 29301984; 31331973; 33436497; 33436498; 35687021; 11546839; 15378069; 17583734; 19111664; 19704023; 7878622; 2565345; 1430225; 8093349; 7694683; 8132570; 2392682; 1371279; 1602006; 1438206; 8781422; 9376589; 9215749; 9790984; 9684783; 10233432; 10391209; 11588040; 12036875; 11897046; 12083483; 12353082; 15583747; 15634267; 15748237; 18065693; 20020534; 29084015; 29380037
P05109	reviewed	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	Homo sapiens (Human)	93	3561500; 3313057; 3405210; 2039599; 14702039; 16710414; 15489334; 8619876; 8423249; 1326551; 7849642; 7695842; 1286667; 9083090; 11708798; 12626582; 15331440; 15598812; 15642721; 16258195; 18786929; 18832721; 20523765; 19835859; 19087201; 19122197; 19451397; 19935772; 19935766; 20213444; 21269460; 22095980; 21487906; 22489132; 21912088; 22223895; 22808130; 22363402; 25417112; 24275569; 33388094; 10771424; 17553524
P05112	reviewed	IL4_HUMAN	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra)	IL4	Homo sapiens (Human)	153	3016727; 2535858; 7806280; 15489334; 3257560; 1993171; 2521231; 2971718; 7721895; 1946344; 1932028; 1400355; 1511746; 1569578; 1567880; 1567881; 1609277; 8151703; 7664036; 10219247; 11526337; 18243101; 14681304
P05538	reviewed	DQB2_HUMAN	HLA class II histocompatibility antigen, DQ beta 2 chain (HLA class II histocompatibility antigen, DX beta chain) (MHC class II antigen DQB2)	HLA-DQB2 HLA-DXB	Homo sapiens (Human)	268	3036828; 8568858; 14574404; 15489334; 3858830; 2564844; 9036956; 11334674; 8598037; 11684289; 18046453; 17241953; 19092054; 19533806; 22407913
P05813	reviewed	CRBA1_HUMAN	Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]	CRYBA1 CRYB1	Homo sapiens (Human)	215	3745196; 15489334; 8999933; 15576560; 28083894; 9788845; 15016766; 21866213; 31523120
P06702	reviewed	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14	Homo sapiens (Human)	114	3313057; 3405210; 2656677; 16710414; 15489334; 2478889; 2776242; 1286667; 8423249; 9083090; 11708798; 12626582; 15331440; 15598812; 15642721; 15905572; 16258195; 18786929; 19367720; 18318008; 20523765; 19534726; 19835859; 19087201; 19122197; 19451397; 19402754; 19935772; 19935766; 20103766; 20068231; 20213444; 21269460; 21325622; 22095980; 22804476; 21487906; 22489132; 21912088; 22808130; 22457725; 22363402; 25417112; 24275569; 11851337; 17553524
P07585	reviewed	PGS2_HUMAN	Decorin (Bone proteoglycan II) (PG-S2) (PG40)	DCN SLRR1B	Homo sapiens (Human)	359	3484330; 8432527; 8432526; 15489334; 2590169; 3597437; 15671264; 19159218; 24275569; 25326458; 32337544; 36213313; 37453717
P07602	reviewed	SAP_HUMAN	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	PSAP GLBA SAP1	Homo sapiens (Human)	524	2515150; 2498298; 15164054; 15489334; 2842863; 1612590; 8323276; 1958198; 2013321; 2717620; 8370464; 2825202; 2868718; 3242555; 2209618; 3442600; 2845979; 3048308; 10562467; 7730378; 10383054; 10510427; 11180632; 10406958; 14657016; 12510003; 19167329; 19159218; 21269460; 21835174; 22431521; 24275569; 26370502; 25944712; 12518053; 7866401; 2302219; 2320574; 2019586; 1371116; 2060627; 10196694; 10682309; 11309366; 15773042; 17919309; 32201884
P07900	reviewed	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	732	2780322; 1368637; 2527334; 16269234; 14702039; 12508121; 2469626; 2591742; 15489334; 2492519; 10409742; 15937123; 2507541; 8289821; 7588731; 9195923; 9660753; 10508479; 11274138; 11583998; 11276205; 12526792; 12853476; 12604615; 14654843; 15235609; 15708368; 15383005; 15577939; 17081983; 16807684; 16531226; 17947705; 18400751; 19367720; 18088087; 18691976; 18669648; 18318008; 19413330; 19690332; 19608861; 19875381; 16139798; 17081065; 17028174; 18256191; 19696785; 20628368; 20353823; 20068231; 21269460; 21406692; 22066472; 23569206; 23186163; 24613385; 24275569; 24681825; 25973397; 25609812; 25738358; 26517842; 25944712; 27295069; 26991466; 27353360; 26754925; 29127155; 30559449; 29743370; 9108479; 9817749; 16307917
