,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
Q9H832,UBE2Z,29.7,354,"['Cytoplasm', 'Nucleus']",28,56
Q9H8Y8,GORASP2,56.2,452,"['Golgi apparatus membrane; Lipid-anchor', 'Endoplasmic reticulum membrane', 'Golgi apparatus']",87,274
Q9H900,ZWILCH,11.3,591,"['Chromosome, centromere, kinetochore']",16,21
Q9H981,ACTR8,16.2,624,"['Nucleus', 'Chromosome']",2,42
Q9HAN9,NMNAT1,11.8,279,['Nucleus'],31,108
Q9HAU5,UPF2,32.0,1272,"['Cytoplasm, perinuclear region', 'Cytoplasm']",2,118
Q9HCJ0,TNRC6C,86.9,1936,None,73,124
Q9HD26,GOPC,31.2,462,"['Cytoplasm', 'Golgi apparatus membrane; Peripheral membrane protein', 'Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Synapse', 'Postsynaptic density', 'Cell projection, dendrite']",14,227
Q9NP70,AMBN,100.0,447,"['Secreted, extracellular space, extracellular matrix']",55,6
Q9NQA5,TRPV5,15.8,729,['Apical cell membrane; Multi-pass membrane protein'],22,28
Q9NQI0,DDX4,40.7,724,"['Cytoplasm', 'Cytoplasm, perinuclear region']",25,19
Q9NQS7,INCENP,85.5,918,"['Nucleus', 'Chromosome, centromere', 'Cytoplasm, cytoskeleton, spindle', 'Midbody', 'Chromosome, centromere, kinetochore']",37,57
Q9NR28,DIABLO,31.0,239,"['Mitochondrion', 'Cytoplasm, cytosol']",48,215
Q9NR61,DLL4,27.0,685,['Cell membrane; Single-pass type I membrane protein'],76,2
Q9NRJ3,CCL28,54.3,127,['Secreted'],0,5
Q9NRR4,DROSHA,32.1,1374,"['Nucleus', 'Nucleus, nucleolus']",84,72
Q9NRY2,INIP,73.1,104,['Nucleus'],2,19
Q9NUM4,TMEM106B,42.7,274,"['Late endosome membrane; Single-pass type II membrane protein', 'Lysosome membrane; Single-pass type II membrane protein', 'Cell membrane; Single-pass type II membrane protein']",30,276
Q9UBB5,MBD2,60.8,411,"['Nucleus', 'Chromosome']",63,101
Q9UBK2,PPARGC1A,85.6,798,None,130,64
Q9UBU9,NXF1,25.5,619,"['Nucleus', 'Nucleus, nucleoplasm', 'Nucleus speckle', 'Nucleus, nuclear pore complex', 'Nucleus envelope', 'Cytoplasm', 'Cytoplasm, Stress granule']",45,1248
Q9UBV7,B4GALT7,25.4,327,"['Golgi apparatus, Golgi stack membrane; Single- pass type II membrane protein']",0,56
Q9UHB7,AFF4,82.0,1163,['Nucleus'],26,91
Q9UJX2,CDC23,8.7,597,None,15,199
Q9UJX3,ANAPC7,15.0,565,"['Cytoplasm, cytoskeleton', 'Nucleus', 'Cytoplasm, cytoskeleton, spindle']",14,113
Q9UJX4,ANAPC5,3.7,755,"['Nucleus', 'Cytoplasm, cytoskeleton, spindle']",33,101
Q9UJX5,ANAPC4,8.4,808,['Nucleus'],14,94
Q9UJX6,ANAPC2,4.9,822,None,25,208
Q9UKL0,RCOR1,61.6,485,['Nucleus'],35,166
Q9UKT4,FBXO5,61.7,447,"['Nucleus', 'Cytoplasm', 'Cytoplasm, cytoskeleton, spindle']",30,39
Q9UKT5,FBXO4,12.4,387,['Cytoplasm'],31,27
Q9UKX7,NUP50,66.0,468,"['Nucleus, nuclear pore complex', 'Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side']",15,260
Q9UM11,FZR1,23.8,496,None,62,0
Q9UMR2,DDX19B,10.2,479,"['Cytoplasm', 'Nucleus, nucleoplasm']",1,230
Q9UMS4,PRPF19,13.3,504,"['Nucleus', 'Nucleus, nucleoplasm', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm', 'Lipid droplet']",48,310
Q9UMX1,SUFU,16.9,484,"['Cytoplasm', 'Nucleus']",69,90
Q9UNA0,ADAMTS5,18.5,930,"['Secreted, extracellular space, extracellular matrix']",42,2
Q9UNL4,ING4,30.1,249,['Nucleus'],8,74
Q9UPR3,SMG5,24.1,1016,"['Cytoplasm', 'Nucleus']",4,68
Q9UQC2,GAB2,82.2,676,"['Cytoplasm', 'Cell membrane', 'Membrane raft']",95,117
Q9Y261,FOXA2,78.1,457,"['Nucleus', 'Cytoplasm']",84,22
Q9Y3B4,SF3B6,8.0,125,['Nucleus'],0,141
Q9Y6C2,EMILIN1,72.1,1016,"['Secreted, extracellular space, extracellular matrix']",26,98
Q9Y6D6,ARFGEF1,20.6,1849,"['Cytoplasm', 'Cytoplasm, perinuclear region', 'Golgi apparatus', 'Golgi apparatus, trans-Golgi network membrane', 'Nucleus', 'Nucleus, nucleolus', 'Nucleus matrix']",36,91
Q9Y6G9,DYNC1LI1,49.5,523,"['Cytoplasm', 'Chromosome, centromere, kinetochore', 'Cytoplasm, cytoskeleton, spindle pole', 'Recycling endosome membrane']",55,134
Q9Y6H6,KCNE3,99.0,103,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasm', 'Perikaryon', 'Cell projection, dendrite', 'Membrane raft']",5,280
Q9Y6K9,IKBKG,42.0,419,"['Cytoplasm', 'Nucleus']",113,483
A0A1B0GTR3,CXorf51A,100.0,108,None,0,0
A4D126,CRPPA,9.1,451,"['Cytoplasm, cytosol']",17,1
A6ND01,IZUMO1R,15.2,250,"['Cell membrane; Lipid-anchor, GPI-anchor', 'Cell projection, microvillus membrane; Lipid- anchor, GPI-anchor']",0,1
A6NI73,LILRA5,33.1,299,['Cell membrane; Single-pass type I membrane protein'],2,26
A8K2U0,A2ML1,5.8,1454,['Secreted'],1,108
O00299,CLIC1,0.0,241,"['Nucleus', 'Nucleus membrane; Single-pass membrane protein', 'Cytoplasm', 'Cell membrane; Single-pass membrane protein', 'Endoplasmic reticulum']",49,133
O00308,WWP2,20.1,870,['Nucleus'],54,748
O00410,IPO5,0.0,1097,"['Cytoplasm', 'Nucleus', 'Nucleus, nucleolus']",71,231
O00411,POLRMT,13.5,1230,['Mitochondrion'],26,174
O00548,DLL1,30.4,723,"['Apical cell membrane; Single-pass type I membrane protein', 'Cell junction, adherens junction', 'Membrane raft']",49,23
O14678,ABCD4,5.1,606,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Lysosome membrane; Multi-pass membrane protein']",1,37
O14727,APAF1,0.8,1248,['Cytoplasm'],88,71
O14965,AURKA,32.5,403,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle pole', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cell projection, neuron projection', 'Cell projection, cilium', 'Cytoplasm, cytoskeleton, cilium basal body', 'Basolateral cell membrane']",137,379
O14977,AZIN1,4.0,448,['Nucleus'],30,19
O15054,KDM6B,64.5,1643,['Nucleus'],78,91
O15151,MDM4,64.1,490,['Nucleus'],101,95
O15247,CLIC2,3.6,247,"['Cytoplasm', 'Membrane; Single-pass membrane protein']",11,12
O15344,MID1,8.5,667,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, spindle']",1,101
O15391,YY2,67.5,372,['Nucleus'],13,8
O15392,BIRC5,12.0,142,"['Cytoplasm', 'Nucleus', 'Chromosome', 'Chromosome, centromere', 'Cytoplasm, cytoskeleton, spindle', 'Chromosome, centromere, kinetochore', 'Midbody']",194,76
O15550,KDM6A,36.8,1401,['Nucleus'],79,131
O43318,MAP3K7,43.9,606,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",133,254
O43521,BCL2L11,90.9,198,['Endomembrane system; Peripheral membrane protein'],157,68
O43776,NARS1,0.0,548,['Cytoplasm'],11,101
O43791,SPOP,15.5,374,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",85,238
O60239,SH3BP5,52.5,455,"['Cytoplasmic vesicle membrane; Peripheral membrane protein', 'Mitochondrion']",23,28
O60486,PLXNC1,8.9,1568,['Membrane; Single-pass type I membrane protein'],18,12
O60493,SNX3,14.8,162,"['Early endosome', 'Cytoplasmic vesicle, phagosome']",51,159
O60508,CDC40,29.0,579,"['Nucleus', 'Nucleus speckle']",18,92
O60568,PLOD3,4.5,738,"['Rough endoplasmic reticulum', 'Endoplasmic reticulum lumen', 'Endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side', 'Secreted', 'Secreted, extracellular space']",33,150
O60825,PFKFB2,16.0,505,None,54,43
O60880,SH2D1A,22.7,128,['Cytoplasm'],38,38
O60934,NBN,55.2,754,"['Nucleus', 'Chromosome', 'Nucleus, PML body', 'Chromosome, telomere']",101,142
O75056,SDC3,96.6,442,['Cell membrane; Single-pass type I membrane protein'],40,36
O75151,PHF2,60.9,1096,"['Nucleus, nucleolus', 'Chromosome, centromere, kinetochore']",5,42
O75223,GGCT,3.7,188,None,30,34
O75475,PSIP1,62.1,530,['Nucleus'],55,133
O75936,BBOX1,0.0,387,['Cytoplasm'],14,22
O75970,MPDZ,36.7,2070,"['Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Apical cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Postsynaptic density', 'Cell projection, dendrite', 'Cell junction, tight junction', 'Synapse', 'Synapse, synaptosome']",21,80
O94829,IPO13,2.9,963,"['Cytoplasm', 'Nucleus']",22,74
O94925,GLS,24.8,669,"['[Glutaminase kidney isoform, mitochondrial 68 kDa chain]: Mitochondrion matrix', '[Glutaminase kidney isoform, mitochondrial 65 kDa chain]: Mitochondrion matrix']",59,190
O95147,DUSP14,14.1,198,None,31,159
O95155,UBE4B,25.9,1302,"['Cytoplasm', 'Nucleus']",92,97
O95197,RTN3,84.5,1032,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein']",73,127
O95391,SLU7,47.1,586,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",30,105
O95696,BRD1,32.9,1058,"['Nucleus', 'Chromosome']",9,353
O95822,MLYCD,6.3,493,"['Cytoplasm', 'Mitochondrion matrix', 'Peroxisome', 'Peroxisome matrix']",14,29
O95835,LATS1,55.5,1130,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle', 'Midbody', 'Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body']",95,209
O95843,GUCA1C,19.6,209,None,1,3
O96018,APBA3,37.9,575,"['Cytoplasm, perinuclear region']",32,63
O96019,ACTL6A,4.9,429,['Nucleus'],54,190
O96028,NSD2,41.5,1365,"['Nucleus', 'Chromosome']",9,320
P00439,PAH,5.5,452,None,18,5
P00488,F13A1,2.2,732,"['Cytoplasm', 'Secreted']",73,14
P00492,HPRT1,0.5,218,['Cytoplasm'],17,89
P00734,F2,14.0,622,"['Secreted, extracellular space']",31,35
P00740,F9,20.4,461,['Secreted'],26,37
P00742,F10,25.4,488,['Secreted'],34,25
P00749,PLAU,8.8,431,['Secreted'],83,43
P01009,SERPINA1,10.3,418,"['Secreted', 'Endoplasmic reticulum', '[Short peptide from AAT]: Secreted, extracellular space, extracellular matrix']",118,121
P01019,AGT,8.2,476,['Secreted'],34,18
P01023,A2M,4.8,1474,['Secreted'],71,149
P01034,CST3,27.4,146,['Secreted'],76,23
P01111,NRAS,9.5,189,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Golgi apparatus membrane; Lipid-anchor']",104,615
P01116,KRAS,9.0,189,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Endomembrane system', 'Cytoplasm, cytosol']",198,1063
P01127,PDGFB,58.5,241,['Secreted'],73,82
P01215,CGA,31.0,116,['Secreted'],38,25
P01732,CD8A,48.1,235,None,52,15
P02760,AMBP,21.6,352,"['[Alpha-1-microglobulin]: Secreted', 'Endoplasmic reticulum', 'Cytoplasm, cytosol', 'Cell membrane; Peripheral membrane protein', 'Nucleus membrane; Peripheral membrane protein', 'Mitochondrion inner membrane; Peripheral membrane protein', 'Secreted, extracellular space, extracellular matrix', '[Inter-alpha-trypsin inhibitor light chain]: Secreted']",52,16
P02774,GC,4.9,474,['Secreted'],58,51
P03956,MMP1,5.1,469,"['Secreted, extracellular space, extracellular matrix']",136,11
P04004,VTN,32.6,478,"['Secreted, extracellular space', 'Parasitophorous vacuole']",50,171
P04035,HMGCR,20.9,888,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Peroxisome membrane; Multi-pass membrane protein']",58,82
P04554,PRM2,100.0,102,"['Nucleus', 'Chromosome']",13,37
P05019,IGF1,73.8,195,['Secreted'],171,9
P05231,IL6,22.2,212,['Secreted'],211,9
P05451,REG1A,21.7,166,['Secreted'],27,5
P05452,CLEC3B,26.7,202,['Secreted'],47,17
P05546,SERPIND1,20.4,499,None,44,13
P06734,FCER2,32.4,321,"['Cell membrane; Single-pass type II membrane protein', 'Cell membrane; Lipid-anchor', 'Secreted']",51,5
P06756,ITGAV,11.6,1048,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, focal adhesion']",133,125
P07197,NEFM,71.7,916,"['Cytoplasm, cytoskeleton', 'Cell projection, axon']",13,117
P07355,ANXA2,6.5,339,"['Secreted, extracellular space, extracellular matrix, basement membrane', 'Melanosome']",136,313
P07550,ADRB2,30.5,413,"['Cell membrane; Multi-pass membrane protein', 'Early endosome', 'Golgi apparatus']",138,303
P07814,EPRS1,10.4,1512,"['Cytoplasm, cytosol', 'Membrane; Peripheral membrane protein']",46,252
P07902,GALT,10.6,379,None,2,18
P08253,MMP2,5.6,660,None,175,53
P08294,SOD3,20.0,240,"['Secreted, extracellular space', 'Golgi apparatus, trans-Golgi network']",68,10
P08572,COL4A2,87.0,1712,"['Secreted, extracellular space, extracellular matrix, basement membrane']",37,52
P08581,MET,13.6,1390,['Membrane; Single-pass type I membrane protein'],199,182
P08670,VIM,43.3,466,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Nucleus matrix', 'Cell membrane']",158,641
P09237,MMP7,10.9,267,"['Secreted, extracellular space, extracellular matrix']",118,21
P09919,CSF3,17.9,207,['Secreted'],68,10
P0DJI8,SAA1,11.5,122,['Secreted'],93,0
P10619,CTSA,5.2,480,['Lysosome'],17,96
P10997,IAPP,98.9,89,['Secreted'],55,8
P11166,SLC2A1,3.7,492,"['Cell membrane; Multi-pass membrane protein', 'Melanosome', 'Photoreceptor inner segment']",179,201
P11274,BCR,34.6,1271,"['Postsynaptic density', 'Cell projection, dendritic spine', 'Cell projection, axon', 'Synapse']",49,133
P11686,SFTPC,60.9,197,"['Secreted, extracellular space, surface film']",42,207
P11926,ODC1,10.8,461,None,41,23
P11940,PABPC1,27.7,636,"['Cytoplasm', 'Cytoplasm, Stress granule', 'Nucleus', 'Cell projection, lamellipodium']",75,483
P13674,P4HA1,6.9,534,['Endoplasmic reticulum lumen'],59,219
P13797,PLS3,4.1,630,['Cytoplasm'],38,116
P14678,SNRPB,64.6,240,"['Cytoplasm, cytosol', 'Nucleus']",63,265
P14868,DARS1,6.4,501,"['Cytoplasm, cytosol']",7,160
P15056,BRAF,37.9,766,"['Nucleus', 'Cytoplasm', 'Cell membrane']",130,152
P15374,UCHL3,0.0,230,['Cytoplasm'],49,158
P15498,VAV1,5.2,845,None,77,186
P16035,TIMP2,10.0,220,['Secreted'],112,40
P16278,GLB1,10.3,677,None,21,77
P17947,SPI1,65.6,270,['Nucleus'],94,49
P18065,IGFBP2,51.4,325,['Secreted'],88,8
P18075,BMP7,22.3,431,['Secreted'],107,66
P18615,NELFE,71.8,380,"['Nucleus', 'Chromosome']",15,61
P18827,SDC1,95.2,310,"['Membrane; Single-pass type I membrane protein', 'Secreted', 'Secreted, extracellular exosome']",114,77
P19525,EIF2AK2,21.6,551,"['Cytoplasm', 'Nucleus', 'Cytoplasm, perinuclear region']",113,305
P19827,ITIH1,6.0,911,['Secreted'],11,16
P19957,PI3,70.1,117,['Secreted'],32,6
P20061,TCN1,7.6,433,['Secreted'],10,7
P20340,RAB6A,17.8,208,"['Golgi apparatus membrane; Lipid- anchor', 'Cytoplasmic vesicle, secretory vesicle, acrosome membrane; Peripheral membrane protein']",51,100
P20592,MX2,16.1,715,"['Cytoplasm', 'Nucleus', 'Nucleus, nuclear pore complex']",6,14
P20807,CAPN3,13.5,821,"['Cytoplasm', 'Nucleus, nucleolus']",10,40
P20849,COL9A1,77.1,921,"['Secreted, extracellular space, extracellular matrix']",19,9
P21397,MAOA,4.4,527,['Mitochondrion outer membrane; Single-pass type IV membrane protein; Cytoplasmic side'],55,11
P21580,TNFAIP3,36.7,790,"['Cytoplasm', 'Nucleus', 'Lysosome', '[A20p50]: Cytoplasm']",130,147
P21675,TAF1,53.2,1893,['Nucleus'],40,206
P22033,MMUT,5.1,750,"['Mitochondrion matrix', 'Mitochondrion', 'Cytoplasm']",3,35
P22234,PAICS,1.9,425,None,4,178
P23280,CA6,10.4,308,['Secreted'],3,62
P23588,EIF4B,85.6,611,None,71,230
P23677,ITPKA,40.1,461,"['Cytoplasm, cytoskeleton']",38,6
P23771,GATA3,81.3,443,['Nucleus'],103,161
P24588,AKAP5,98.1,427,['Postsynaptic recycling endosome membrane; Lipid- anchor'],12,61
P25024,CXCR1,14.3,350,['Cell membrane; Multi-pass membrane protein'],65,15
P26196,DDX6,18.0,483,"['Cytoplasm, P-body', 'Cytoplasm', 'Nucleus']",44,282
P26368,U2AF2,26.7,475,['Nucleus'],36,478
P26447,S100A4,14.9,101,"['Secreted', 'Nucleus', 'Cytoplasm']",103,131
P27469,G0S2,89.3,103,['Mitochondrion'],34,17
P27635,RPL10,2.3,214,['Cytoplasm'],28,581
P28325,CST5,24.6,142,['Secreted'],20,34
P28482,MAPK1,3.9,360,"['Cytoplasm, cytoskeleton, spindle', 'Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm', 'Membrane, caveola', 'Cell junction, focal adhesion']",223,349
P29317,EPHA2,8.2,976,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, ruffle membrane; Single-pass type I membrane protein', 'Cell projection, lamellipodium membrane; Single-pass type I membrane protein', 'Cell junction, focal adhesion']",131,238
P29590,PML,32.0,882,"['Nucleus', 'Nucleus, nucleoplasm', 'Cytoplasm', 'Nucleus, PML body', 'Nucleus, nucleolus', 'Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side', 'Early endosome membrane; Peripheral membrane protein; Cytoplasmic side']",105,283
P30518,AVPR2,23.7,371,['Cell membrane; Multi-pass membrane protein'],24,118
P30542,ADORA1,7.4,326,['Cell membrane; Multi-pass membrane protein'],44,22
P30793,GCH1,22.4,250,"['Cytoplasm', 'Nucleus']",58,58
P31153,MAT2A,2.5,395,None,43,105
P31327,CPS1,2.9,1500,"['Mitochondrion', 'Nucleus, nucleolus', 'Cell membrane; Peripheral membrane protein; Extracellular side']",13,113
P31749,AKT1,12.3,480,"['Cytoplasm', 'Nucleus', 'Cell membrane']",261,437
P33897,ABCD1,16.1,745,"['Peroxisome membrane; Multi-pass membrane protein', 'Mitochondrion membrane; Multi-pass membrane protein', 'Lysosome membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi- pass membrane protein']",11,64
P34741,SDC2,92.5,201,['Membrane; Single-pass type I membrane protein'],54,129
P35052,GPC1,22.4,558,"['Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side', 'Endosome', '[Secreted glypican-1]: Secreted, extracellular space']",51,164
P35269,GTF2F1,63.8,517,['Nucleus'],6,148
P35475,IDUA,6.1,653,['Lysosome'],5,49
P35680,HNF1B,67.5,557,['Nucleus'],10,162
P35813,PPM1A,3.4,382,"['Nucleus', 'Cytoplasm, cytosol', 'Membrane; Lipid- anchor']",78,115
P36776,LONP1,18.2,959,['Mitochondrion matrix'],15,376
P36871,PGM1,0.0,562,None,20,76
P36888,FLT3,19.6,993,"['Membrane; Single-pass type I membrane protein', 'Endoplasmic reticulum lumen']",71,35
P36952,SERPINB5,0.0,375,"['Secreted, extracellular space']",94,136
P36955,SERPINF1,9.8,418,"['Secreted', 'Melanosome']",59,27
P37268,FDFT1,3.4,417,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],36,109
P40692,MLH1,22.2,756,"['Nucleus', 'Chromosome']",6,229
P40763,STAT3,13.5,770,"['Cytoplasm', 'Nucleus']",229,369
P40818,USP8,36.5,1118,"['Cytoplasm', 'Nucleus', 'Endosome membrane; Peripheral membrane protein', 'Cell membrane; Peripheral membrane protein']",125,96
P40939,HADHA,4.6,763,"['Mitochondrion', 'Mitochondrion inner membrane']",48,399
P41214,EIF2D,17.0,584,['Cytoplasm'],6,32
P41227,NAA10,28.9,235,"['Cytoplasm', 'Nucleus']",37,122
P42166,TMPO,59.8,694,"['Nucleus', 'Chromosome']",41,608
P42574,CASP3,18.1,277,['Cytoplasm'],216,117
P42658,DPP6,15.5,865,['Cell membrane; Single-pass type II membrane protein'],45,15
P42898,MTHFR,6.9,656,None,96,42
P43026,GDF5,37.9,501,"['Secreted', 'Cell membrane']",35,35
P43034,PAFAH1B1,3.4,410,"['Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle', 'Nucleus membrane']",58,108
P43250,GRK6,6.8,576,['Membrane; Lipid-anchor'],48,45
P45379,TNNT2,69.5,298,None,31,13
P46379,BAG6,54.0,1132,"['Cytoplasm, cytosol', 'Nucleus', 'Secreted, extracellular exosome']",28,369
P47897,QARS1,4.9,775,"['Cytoplasm, cytosol', 'Cytoplasm']",4,257
P47992,XCL1,52.6,114,['Secreted'],20,8
P48443,RXRG,32.4,463,"['Nucleus', 'Cytoplasm']",42,37
P49023,PXN,58.5,591,"['Cytoplasm, cytoskeleton', 'Cell junction, focal adhesion', 'Cytoplasm, cell cortex']",104,279
P49189,ALDH9A1,1.8,494,"['Cytoplasm, cytosol', 'Cytoplasm']",5,48
P49257,LMAN1,29.6,510,"['Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein', 'Golgi apparatus membrane; Single-pass membrane protein', 'Endoplasmic reticulum membrane; Single-pass type I membrane protein']",42,393
P49327,FASN,1.4,2511,"['Cytoplasm', 'Melanosome']",115,276
P49366,DHPS,11.4,369,None,35,81
P49753,ACOT2,14.5,483,['Mitochondrion'],1,89
P49789,FHIT,0.0,147,"['Cytoplasm', 'Mitochondrion', 'Nucleus']",64,24
P49902,NT5C2,18.9,561,"['Cytoplasm, cytosol']",30,59
P49915,GMPS,2.9,693,"['Cytoplasm, cytosol']",11,115
P50148,GNAQ,4.2,359,"['Cell membrane; Lipid-anchor', 'Golgi apparatus', 'Nucleus', 'Nucleus membrane']",38,106
P50579,METAP2,23.8,478,['Cytoplasm'],11,86
P51513,NOVA1,45.2,507,['Nucleus'],55,14
P51787,KCNQ1,44.5,676,"['Cell membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle membrane', 'Early endosome', 'Membrane raft', 'Endoplasmic reticulum', 'Basolateral cell membrane', 'Apical cell membrane; Multi-pass membrane protein']",18,18
P52732,KIF11,17.4,1056,"['Cytoplasm', 'Cytoplasm, cytoskeleton, spindle pole']",98,207
P52848,NDST1,8.5,882,None,12,27
P53420,COL4A4,86.9,1690,"['Secreted, extracellular space, extracellular matrix, basement membrane']",5,5
P53778,MAPK12,6.3,367,"['Cytoplasm', 'Nucleus', 'Mitochondrion']",98,32
P53816,PLAAT3,20.4,162,"['Cell membrane; Single-pass membrane protein', 'Cytoplasm', 'Cytoplasm, cytosol', 'Cytoplasm, perinuclear region', 'Peroxisome membrane; Single-pass membrane protein', 'Mitochondrion membrane; Single-pass membrane protein', 'Nucleus envelope', 'Lysosome membrane; Single-pass membrane protein', 'Endoplasmic reticulum membrane; Single-pass membrane protein']",13,0
P54132,BLM,53.1,1417,['Nucleus'],63,163
P54368,OAZ1,40.8,228,None,71,37
P54578,USP14,11.7,494,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein']",120,422
P54687,BCAT1,6.7,386,['Cytoplasm'],67,54
P55011,SLC12A2,25.9,1212,['Basolateral cell membrane; Multi-pass membrane protein'],43,161
P55145,MANF,13.2,182,"['Secreted', 'Endoplasmic reticulum lumen', 'Sarcoplasmic reticulum lumen']",49,54
P55197,MLLT10,80.8,1068,['Nucleus'],7,43
P55210,CASP7,24.4,303,"['Cytoplasm, cytosol', 'Nucleus', 'Secreted, extracellular space']",78,59
P55211,CASP9,16.3,416,None,108,56
P55265,ADAR,36.6,1226,None,63,152
P55285,CDH6,30.5,790,['Cell membrane; Single-pass type I membrane protein'],44,4
P55789,GFER,45.4,205,None,73,65
P56211,ARPP19,100.0,112,['Cytoplasm'],44,9
P56524,HDAC4,57.4,1084,"['Nucleus', 'Cytoplasm']",112,361
P58004,SESN2,14.6,480,['Cytoplasm'],100,26
P60484,PTEN,16.1,403,"['Cytoplasm', 'Nucleus', 'Nucleus, PML body', 'Cell projection, dendritic spine', 'Postsynaptic density']",227,356
P60709,ACTB,0.0,375,"['Cytoplasm, cytoskeleton', 'Nucleus']",94,708
P61587,RND3,24.2,244,['Golgi apparatus membrane; Peripheral membrane protein'],68,253
P61956,SUMO2,18.9,95,"['Nucleus', 'Nucleus, PML body']",76,1622
P62330,ARF6,2.9,175,"['Cytoplasm, cytosol', 'Cell membrane; Lipid-anchor', 'Endosome membrane; Lipid-anchor', 'Recycling endosome membrane; Lipid-anchor', 'Cell projection, filopodium membrane; Lipid- anchor', 'Cell projection, ruffle', 'Cleavage furrow', 'Midbody, Midbody ring', 'Early endosome membrane; Lipid-anchor', 'Golgi apparatus, trans-Golgi network membrane; Lipid-anchor']",108,576
P63000,RAC1,6.2,192,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Melanosome', 'Cytoplasm', 'Cell projection, lamellipodium', 'Cell projection, dendrite', 'Synapse', 'Nucleus']",95,914
P63104,YWHAZ,4.9,245,"['Cytoplasm', 'Melanosome']",192,933
P78352,DLG4,22.1,724,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Postsynaptic density', 'Synapse', 'Cytoplasm', 'Cell projection, axon', 'Cell projection, dendritic spine', 'Cell projection, dendrite', 'Presynapse']",43,142
P78563,ADARB1,29.0,741,"['Nucleus', 'Nucleus, nucleolus']",30,213
P80303,NUCB2,18.3,420,"['Golgi apparatus', 'Membrane; Peripheral membrane protein', 'Cytoplasm', 'Secreted', 'Endoplasmic reticulum', 'Nucleus envelope', '[Nesfatin-1]: Secreted']",53,72
P81274,GPSM2,41.5,684,"['Cytoplasm', 'Cytoplasm, cell cortex', 'Cytoplasm, cytoskeleton, spindle pole', 'Lateral cell membrane']",30,28
P81605,DCD,100.0,110,"['Secreted', '[Survival-promoting peptide]: Secreted', '[DCD-1]: Secreted', 'Membrane; Peripheral membrane protein', 'Membrane; Single-pass membrane protein']",31,173
P83110,HTRA3,7.3,453,['Secreted'],39,22
P83916,CBX1,47.6,185,['Nucleus'],20,177
P84243,H3-3A,40.4,136,"['Nucleus', 'Chromosome']",64,203
P98066,TNFAIP6,17.0,277,['Secreted'],32,47
Q00266,MAT1A,3.0,395,None,18,16
Q00534,CDK6,6.4,326,"['Cytoplasm', 'Nucleus', 'Cell projection, ruffle', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",142,177
Q00653,NFKB2,28.1,900,"['Nucleus', 'Cytoplasm']",83,192
Q01968,OCRL,12.9,901,"['Cytoplasmic vesicle, phagosome membrane', 'Early endosome membrane', 'Membrane, clathrin-coated pit', 'Cell projection, cilium, photoreceptor outer segment', 'Cell projection, cilium', 'Cytoplasmic vesicle', 'Endosome', 'Golgi apparatus, trans-Golgi network', 'Lysosome']",22,255
Q02297,NRG1,78.9,640,"['[Pro-neuregulin-1, membrane-bound isoform]: Cell membrane; Single-pass type I membrane protein', '[Neuregulin-1]: Secreted']",108,95
